simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.067596	18999	274.461
40	1161	24	0	111.169	4.02733e-05	7.30081
80	1161	0	0	93.434	8.58167e-14	0.029912
120	1161	0	0	93.4107	1.82863e-22	0.000122552
160	1161	0	0	92.86	3.89656e-31	5.02105e-07
200	1161	0	0	92.3319	8.30302e-40	2.05716e-09
240	1161	0	0	93.406	1.76926e-48	8.42837e-12
280	1161	0	0	93.008	3.77004e-57	3.45317e-14
320	1161	0	0	93.2725	8.03342e-66	1.41479e-16
360	1161	0	0	93.1857	1.71181e-74	5.79651e-19
400	1161	0	0	93.3668	3.64762e-83	2.37488e-21
440	1161	0	0	93.2598	7.77257e-92	9.73007e-24
480	1161	0	0	93.2231	1.65623e-100	3.98649e-26
520	1161	0	0	92.6287	3.52918e-109	1.6333e-28
560	1161	0	0	93.3303	7.52019e-118	6.69174e-31
600	1161	0	0	92.3749	1.60245e-126	2.74166e-33
640	1161	0	0	93.3589	3.41459e-135	1.12328e-35
680	1161	0	0	93.288	7.27601e-144	4.60217e-38
720	1161	0	0	93.1053	1.55041e-152	1.88555e-40
760	1161	0	0	92.1046	3.30372e-161	7.72523e-43
800	1161	0	0	108.504	7.03975e-170	57.5079
840	1161	0	0	93.3331	1.50007e-178	0.235615
880	1161	0	0	93.2758	3.19644e-187	0.000965332
920	1161	0	0	94.0921	6.81117e-196	3.95504e-06
960	1161	0	0	93.275	1.45136e-204	1.62041e-08
1000	1161	0	0	92.8351	3.09265e-213	6.63896e-11
1040	1161	0	0	92.7596	6.59001e-222	2.72004e-13
1080	1161	0	0	92.788	1.40424e-230	1.11442e-15
1120	1161	0	0	93.5289	2.99223e-239	4.56587e-18
1160	1161	0	0	93.0723	6.37603e-248	1.87067e-20
1200	1161	0	0	92.8908	1.35864e-256	7.6643e-23
1240	1161	0	0	93.4344	2.89507e-265	3.14012e-25
1280	1161	0	0	92.922	6.169e-274	1.28653e-27
1320	1161	0	0	92.5233	1.31453e-282	5.27103e-30
1360	1161	0	0	93.9348	2.80107e-291	2.15958e-32
1400	1161	0	0	92.6676	5.96869e-300	8.84799e-35
1440	1161	0	0	91.2894	0	3.62509e-37
1440.02	1161	0	0	0.175316	0	3.61514e-37
