simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0721299	18999	274.461
40	1163	26	0	110.366	4.02689e-05	7.30081
80	1163	0	0	90.8306	8.58073e-14	0.029912
120	1163	0	0	107.171	1.82843e-22	114.332
160	1163	0	0	91.4807	3.89613e-31	0.468428
200	1163	0	0	90.5855	8.30211e-40	0.00191919
240	1163	0	0	107.662	1.76906e-48	7.27787
280	1163	0	0	90.7227	3.76962e-57	0.029818
320	1163	0	0	107.623	8.03253e-66	114.018
360	1163	0	0	92.8683	1.71162e-74	0.467142
400	1163	0	0	90.7878	3.64722e-83	0.00191392
440	1163	0	0	107.642	7.77172e-92	7.31822
480	1163	0	0	92.7059	1.65604e-100	0.0299833
520	1163	0	0	108.773	3.52879e-109	114.332
560	1163	0	0	92.5918	7.51936e-118	0.468428
600	1163	0	0	91.6851	1.60227e-126	0.00191919
640	1163	0	0	108.063	3.41421e-135	7.31822
680	1163	0	0	91.8476	7.27521e-144	0.0299833
720	1163	0	0	107.669	1.55024e-152	114.332
760	1163	0	0	93.0702	3.30335e-161	0.468428
800	1163	0	0	92.3093	7.03898e-170	0.00191919
840	1163	0	0	109.172	1.49991e-178	7.31822
880	1163	0	0	93.2511	3.19609e-187	0.0299833
920	1163	0	0	109.323	6.81042e-196	114.332
960	1163	0	0	92.7458	1.4512e-204	0.468428
1000	1163	0	0	90.6747	3.09231e-213	0.00191919
1040	1163	0	0	108.957	6.58928e-222	7.31822
1080	1163	0	0	92.472	1.40408e-230	0.0299833
1120	1163	0	0	108.655	2.9919e-239	114.332
1160	1163	0	0	92.5539	6.37533e-248	0.468428
1200	1163	0	0	92.377	1.35849e-256	0.00191919
1240	1163	0	0	108.158	2.89476e-265	7.31822
1280	1163	0	0	90.6864	6.16832e-274	0.0299833
1320	1163	0	0	108.388	1.31438e-282	114.332
1360	1163	0	0	94.2934	2.80076e-291	0.468428
1400	1163	0	0	92.4402	5.96803e-300	0.00191919
1440	1163	0	0	106.22	0	7.31822
1440.02	1163	0	0	0.157185	0	7.29813
