simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0745207	18999	274.461
40	1163	26	0	106.166	4.02663e-05	7.30081
80	1163	0	0	88.3668	8.58019e-14	0.029912
120	1163	0	0	88.0665	1.82832e-22	0.000122552
160	1163	0	0	87.8533	3.89589e-31	5.02105e-07
200	1163	0	0	88.0079	8.30159e-40	2.05716e-09
240	1163	0	0	87.3038	1.76895e-48	8.42837e-12
280	1163	0	0	88.678	3.76939e-57	3.45317e-14
320	1163	0	0	87.4561	8.03203e-66	1.41479e-16
360	1163	0	0	88.83	1.71151e-74	5.79651e-19
400	1163	0	0	87.4338	3.64699e-83	2.37488e-21
440	1163	0	0	88.1946	7.77123e-92	9.73007e-24
480	1163	0	0	89.0834	1.65594e-100	3.98649e-26
520	1163	0	0	87.9622	3.52857e-109	1.6333e-28
560	1163	0	0	87.3384	7.5189e-118	6.69174e-31
600	1163	0	0	87.6114	1.60217e-126	2.74166e-33
640	1163	0	0	87.8308	3.414e-135	1.12328e-35
680	1163	0	0	87.0474	7.27475e-144	4.60217e-38
720	1163	0	0	87.8686	1.55015e-152	1.88555e-40
760	1163	0	0	86.9081	3.30315e-161	7.72523e-43
800	1163	0	0	87.2946	7.03854e-170	3.16509e-45
840	1163	0	0	103.081	1.49981e-178	7.31822
880	1163	0	0	87.8844	3.19589e-187	0.0299833
920	1163	0	0	88.444	6.81e-196	0.000122844
960	1163	0	0	87.7307	1.45111e-204	5.03302e-07
1000	1163	0	0	87.4025	3.09212e-213	2.06207e-09
1040	1163	0	0	87.5644	6.58887e-222	8.44847e-12
1080	1163	0	0	87.1937	1.404e-230	3.46141e-14
1120	1163	0	0	86.9852	2.99172e-239	1.41817e-16
1160	1163	0	0	87.0359	6.37493e-248	5.81034e-19
1200	1163	0	0	87.1033	1.35841e-256	2.38054e-21
1240	1163	0	0	87.2019	2.89458e-265	9.75327e-24
1280	1163	0	0	86.9519	6.16793e-274	3.99599e-26
1320	1163	0	0	87.0215	1.3143e-282	1.63719e-28
1360	1163	0	0	88.0436	2.80059e-291	6.7077e-31
1400	1163	0	0	87.1831	5.96766e-300	2.7482e-33
1440	1163	0	0	85.0927	0	1.12596e-35
1440.02	1163	0	0	0.146355	0	1.12287e-35
